spotify_url	song	url	label	note
https://open.spotify.com/track/3sK8wGT43QFpWrvNQsrQya	Bad Bunny - DtMF	https://music.youtube.com/watch?v=TiebZllW8As	correct	official audio, title, artist and duration match
https://open.spotify.com/track/2lTm559tuIvatlT1u0JYG2	Bad Bunny - BAILE INoLVIDABLE	https://music.youtube.com/watch?v=JseJETvMtHY	correct	official audio, title, artist and duration match
https://open.spotify.com/track/1IHWl5LamUGEuP4ozKQSXZ	Bad Bunny - Tití Me Preguntó	https://music.youtube.com/watch?v=juRFjpB5Ppg	correct	official audio, title, artist and duration match
https://open.spotify.com/track/6VNXmo59yDYgcwLS17UNAW	Bad Bunny - CAFé CON RON	https://music.youtube.com/watch?v=sLJsaFYnsjE	correct	official audio, title, artist and duration match
https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4	Pedro Capó - Calma - Remix	https://www.youtube.com/watch?v=1_zgKRBrT0Y	correct	official video of the remix, same length
https://open.spotify.com/track/73scB4Q4fcOmnsBVZPmk32	KAROL G - Si Antes Te Hubiera Conocido	https://music.youtube.com/watch?v=mi-JD4jGVUQ	correct	official audio, title, artist and duration match
https://open.spotify.com/track/6PSKhwo0mVcOdjUOhVJd5p	Enrique Iglesias - Bailando - Spanish Version	https://www.youtube.com/watch?v=TpG9x_5iUEA	correct	lyrics upload of the Spanish version, 1 s off
https://open.spotify.com/track/69Ej1xrGjOcHvIMtMKxK0G	Don Omar - Dile	https://music.youtube.com/watch?v=VcrKS3nRvF8	correct	official audio, title, artist and duration match
https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1	J Balvin - Azul	https://music.youtube.com/watch?v=_XTu5vefx5Y	correct	official audio, title, artist and duration match
https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg	Shakira - Chantaje (feat. Maluma)	https://music.youtube.com/watch?v=z0LqPKQYzEI	correct	official audio, title, artist and duration match
https://open.spotify.com/track/5YoITs1m0q8UOQ4AW7N5ga	Daddy Yankee - Gasolina	https://music.youtube.com/watch?v=2djj_KnGwjk	correct	official audio, title, artist and duration match
https://open.spotify.com/track/3pDhN3qB33AOPhQEkUCaWt	Daddy Yankee - Limbo	https://music.youtube.com/watch?v=-UhyvOQ0XZY	correct	official audio, title, artist and duration match
https://open.spotify.com/track/0OMRAvrtLWE2TvcXorRiB9	Gente De Zona - La Gozadera (feat. Marc Anthony)	https://music.youtube.com/watch?v=LECvZ1GUweY	correct	official audio, title, artist and duration match
https://open.spotify.com/track/2a1o6ZejUi8U3wzzOtCOYw	Don Omar - Danza Kuduro	https://www.youtube.com/watch?v=JmatCSqYu38	correct	re-upload of the original, 1 s off
https://open.spotify.com/track/7COfe3P7KgfwDwIRB8LIDw	J Balvin - Mi Gente	https://music.youtube.com/watch?v=uFuAHzHOGYQ	correct	official audio, title, artist and duration match
https://open.spotify.com/track/40a82F3K2UTbeoLlXXXZBd	Daddy Yankee - Lo Que Pasó, Pasó	https://music.youtube.com/watch?v=fHwbnAeJ6EA	correct	official audio, title, artist and duration match
https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo	CNCO - Reggaetón Lento (Bailemos)	https://music.youtube.com/watch?v=-RjOjtv9cKg	correct	official audio, title, artist and duration match
https://open.spotify.com/track/4nt5qwSYkN4d3v57v4bB72	NATTI NATASHA - Criminal	https://www.youtube.com/watch?v=-cTNTYsOU_4	unsure	lyrics upload 4 s longer; fix1 label unsure
https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m	Daddy Yankee - Con Calma	https://music.youtube.com/watch?v=GQwj_FRntp8	correct	official audio, title, artist and duration match
https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49	Bad Bunny - DÁKITI	https://music.youtube.com/watch?v=2x9aY0QJR04	correct	official audio, title, artist and duration match
https://open.spotify.com/track/0Gx4VrHzS7pZOEAGrmXXBH	Carlos Vives - La Bicicleta	https://www.youtube.com/watch?v=-UV0QGLmYys	wrong	music video 9 s longer than the audio; fix1 label wrong
https://open.spotify.com/track/2C2TGgFzrTRIOdQS1vUN5h	J Balvin - Ginza	https://music.youtube.com/watch?v=T2eguXvbV7s	correct	official audio, title, artist and duration match
https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46	Ricky Martin - Vente Pa' Ca (feat. Maluma)	https://music.youtube.com/watch?v=COJp2Ejz0x0	correct	official audio on another album
https://open.spotify.com/track/0fqrZVSenCW6vD2eFMx5pt	Daddy Yankee - La Despedida	https://music.youtube.com/watch?v=h6bg8X5qNUs	correct	official audio, title, artist and duration match
https://open.spotify.com/track/3QHMxEOAGD51PDlbFPHLyJ	Marc Anthony - Vivir Mi Vida	https://music.youtube.com/watch?v=79OxD7KNlYw	correct	official audio, title, artist and duration match
https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni	Farruko - Pepas	https://www.youtube.com/watch?v=acm6O4WwgBg	correct	7clouds lyrics upload, 1 s off
https://open.spotify.com/track/6habFhsOp2NvshLv26DqMb	Luis Fonsi - Despacito	https://music.youtube.com/watch?v=FXovf5dsRTw	correct	official audio on another album
https://open.spotify.com/track/5TFD2bmFKGhoCRbX61nXY5	Bad Bunny - NUEVAYoL	https://music.youtube.com/watch?v=WdSGEvDGZAo	correct	official audio, title, artist and duration match
https://open.spotify.com/track/00i0O74dXdaKKdCrqHnfXm	Ricky Martin - La Mordidita (feat. Yotuel)	https://music.youtube.com/watch?v=5Ulr4o-WZgM	correct	official audio, title, artist and duration match
https://open.spotify.com/track/0JcNysfWVWaMS7R6vzGB2k	Carlos Vives - Robarte un Beso	https://music.youtube.com/watch?v=H9y-oKSdA9w	correct	official audio, title, artist and duration match
https://open.spotify.com/track/70lnL3QaSOIIyMa2X9aVRL	Shakira - Perro Fiel (feat. Nicky Jam)	https://music.youtube.com/watch?v=WlLBTCxBJO8	correct	official audio, title, artist and duration match
https://open.spotify.com/track/1A5yplwEk6cJbAL63L6bkp	Deorro - Bailar (feat. Pitbull & Elvis Crespo)	https://www.youtube.com/watch?v=9cBtJYI6itg	wrong	official video 11 s longer, without Pitbull's verse credit; fix1 label wrong
https://open.spotify.com/track/3W8oGQi947ofWesrIYXP2n	Don Omar - Hasta Que Salga El Sol	https://music.youtube.com/watch?v=nTWsspgrF0E	correct	official audio, title, artist and duration match
https://open.spotify.com/track/7txjUEY6McJDJKqIo1Rxjp	Shakira - Acróstico - Milan + Sasha	https://www.youtube.com/watch?v=oBw5BlWsY3M	unsure	lyrics upload titled 'Acróstico'; can't tell if it is the Milan + Sasha version; fix1 label unsure
https://open.spotify.com/track/0kosUz0jePvjiz4ctmR6wL	Shakira - Dai Dai	https://music.youtube.com/watch?v=lFQdcPTTzSg	correct	official audio, title, artist and duration match
https://open.spotify.com/track/0W8nDs4H2cqxxAgszNMYO3	Shakira - Waka Waka (Esto es Africa) (feat. Freshlyground)	https://www.youtube.com/watch?v=KZqFXNMYwr0	correct	lyrics upload, 1 s off, Spanish version
https://open.spotify.com/track/42k1KeBehAd83lrGt1okiC	Shakira - Loca (feat. El Cata)	https://music.youtube.com/watch?v=p_uBMc7mA0c	correct	official audio, title, artist and duration match
https://open.spotify.com/track/53AafWSzYsiJKnAtJTUB5f	Shakira - La Tortura (feat. Alejandro Sanz)	https://music.youtube.com/watch?v=GdgiSOHcswI	correct	official audio, title, artist and duration match
https://open.spotify.com/track/0DWdj2oZMBFSzRsi2Cvfzf	KAROL G - TQG	https://music.youtube.com/watch?v=a4oZXu9jM-Q	correct	official audio, title, artist and duration match
https://open.spotify.com/track/0mlAOSILGRys2IbvyOT5VJ	Luis Fonsi - Échame La Culpa	https://music.youtube.com/watch?v=YDswuo2dIvY	correct	official audio, title, artist and duration match
